Style,Variant Code,total_quantity,reorder_threshold,reorder_quantity,reorder_value,tier
AVERY,100.XL,3.0,200,197.0,74663.0,making_progress
KIMAYA,100.XS,2.0,200,198.0,74646.0,making_progress
DITA,633.L,2.0,200,198.0,74646.0,making_progress
KIMAYA,815.M,2.0,200,198.0,74646.0,making_progress
ELIZA,580.L,2.0,200,198.0,74646.0,making_progress
ELIZA,633.2XL,2.0,200,198.0,74646.0,making_progress
DITA,815.S,2.0,200,198.0,74646.0,making_progress
KIMAYA,815.S,2.0,200,198.0,74646.0,making_progress
KIMAYA,815.XS,2.0,200,198.0,74646.0,making_progress
KIMAYA,100.2XS,2.0,200,198.0,74646.0,making_progress
DITA,990.3XS,2.0,200,198.0,74646.0,making_progress
ELIZA,990.M,2.0,200,198.0,74646.0,making_progress
STAR,990.2XS,4.0,200,196.0,74478.04000000001,making_progress
SHADEL,990.3XS,4.0,200,196.0,74478.04000000001,making_progress
AGATHA,990.XL.,4.0,200,196.0,74284.0,making_progress
ALICE,990.XL.,4.0,200,196.0,74284.0,making_progress
AVERY,990.XS,4.0,200,196.0,74284.0,making_progress
ELIZA,990.S,3.0,200,197.0,74269.0,making_progress
KIMAYA,815.2XS,3.0,200,197.0,74269.0,making_progress
KIMAYA,815.L,3.0,200,197.0,74269.0,making_progress
KIMAYA,815.XL,3.0,200,197.0,74269.0,making_progress
AVERY,633.S,5.0,200,195.0,73905.0,making_progress
AVERY,100.L,5.0,200,195.0,73905.0,making_progress
AVERY,100.XS,5.0,200,195.0,73905.0,making_progress
DITA,815.M,4.0,200,196.0,73892.0,making_progress
KIMAYA,100.3XS,4.0,200,196.0,73892.0,making_progress
DITA,815.2XS,4.0,200,196.0,73892.0,making_progress
KIMAYA,401.3XS.,4.0,200,196.0,73892.0,making_progress
KIMAYA,116.3XS.,4.0,200,196.0,73892.0,making_progress
DITA,815.L,5.0,200,195.0,73515.0,making_progress
ELIZA,580.3XS,5.0,200,195.0,73515.0,making_progress
ELIZA,633.L,5.0,200,195.0,73515.0,making_progress
ELIAM CROSSBODY,990.NS.,17.0,300,283.0,73297.0,doing_good
MAVIS,919.XS,2.0,200,198.0,73258.02,making_progress
PORTIA,990.3XS,3.0,200,197.0,72888.03,making_progress
"MONACO 22"" MEDIUM LUGGAGE CASE",990.NS.,42.0,500,458.0,72822.0,best_sellers
ELIAM CROSSBODY,870.NS.,19.0,300,281.0,72779.0,doing_good
MIKEY,990.L.,10.0,300,290.0,72497.1,doing_good
KATHLEEN,710.02,10.0,300,290.0,72497.1,doing_good
KATHLEEN,990.08,10.0,300,290.0,72497.1,doing_good
KATHLEEN,990.02,10.0,300,290.0,72497.1,doing_good
KATHLEEN,710.04,10.0,300,290.0,72497.1,doing_good
KATHLEEN,990.10,11.0,300,289.0,72247.11,doing_good
DANA,990.06,10.0,300,290.0,72210.0,doing_good
JANE,919.2XS.,10.0,300,290.0,72210.0,doing_good
JANE,919.L.,11.0,300,289.0,71961.0,doing_good
DANA,990.08,11.0,300,289.0,71961.0,doing_good
KATHLEEN,990.04,13.0,300,287.0,71747.13,doing_good
JANE,919.XS.,13.0,300,287.0,71463.0,doing_good
JANE,919.S.,13.0,300,287.0,71463.0,doing_good
MIKEY,990.M.,15.0,300,285.0,71247.15000000001,doing_good
DANA,990.02,14.0,300,286.0,71214.0,doing_good
DANA,990.00,16.0,300,284.0,70716.0,doing_good
ELIAM CAMERA BAG,990.NS.,18.0,300,282.0,70218.0,doing_good
DANA,990.04,19.0,300,281.0,69969.0,doing_good
DEMI,815.2XS.,0.0,100,100.0,69900.0,okay
DEMI,815.L.,0.0,100,100.0,69900.0,okay
DEMI,815.XS.,0.0,100,100.0,69900.0,okay
DEMI,815.S.,0.0,100,100.0,69900.0,okay
DEMI,815.3XS.,0.0,100,100.0,69900.0,okay
ALEKSIA,990.L.,0.0,100,100.0,69900.0,okay
ELIAM CAMERA BAG,870.NS.,20.0,300,280.0,69720.0,doing_good
VANCE,730.L,2.0,200,198.0,69298.02,making_progress
AUBRIEL,990.08,2.0,200,198.0,69298.02,making_progress
VANCE,730.M,2.0,200,198.0,69298.02,making_progress
AUBRIEL,990.12,2.0,200,198.0,69298.02,making_progress
KEDDA,990.L,2.0,200,198.0,69298.02,making_progress
AUBRIEL,990.00,2.0,200,198.0,69298.02,making_progress
RENFIELD,990.3XL.,2.0,200,198.0,69298.02,making_progress
KEDDA,990.2XS,2.0,200,198.0,69298.02,making_progress
RENFIELD,916.XS.,2.0,200,198.0,69298.02,making_progress
COEN,350M,2.0,200,198.0,69298.02,making_progress
KEYLA,9903XS,2.0,200,198.0,69298.02,making_progress
CARMEN,531.XL,2.0,200,198.0,69298.02,making_progress
KEDDA,990.2XL,2.0,200,198.0,69298.02,making_progress
BEN,990.2XL.,2.0,200,198.0,69102.0,making_progress
ELENA,710.S,2.0,200,198.0,69102.0,making_progress
GEORGE,990.S.,2.0,200,198.0,69102.0,making_progress
CONNOR,990.3XL.,2.0,200,198.0,69102.0,making_progress
CLARICE,414.L,2.0,200,198.0,69102.0,making_progress
ELENA,710.3XS,2.0,200,198.0,69102.0,making_progress
ELI,990.XL,2.0,200,198.0,69102.0,making_progress
ELENA,710.2XS,2.0,200,198.0,69102.0,making_progress
BEN,733.2XL.,2.0,200,198.0,69102.0,making_progress
CLARICE,815.3XS,2.0,200,198.0,69102.0,making_progress
ELENA,116.M,2.0,200,198.0,69102.0,making_progress
OLLIE,990.S,2.0,200,198.0,69102.0,making_progress
OLLIE,990.M,2.0,200,198.0,69102.0,making_progress
ELENA,710.L,2.0,200,198.0,69102.0,making_progress
DALYLA,670.3XS,3.0,200,197.0,68948.03,making_progress
DALYLA,670.2XS,3.0,200,197.0,68948.03,making_progress
RENFIELD,990.2XL.,3.0,200,197.0,68948.03,making_progress
KEYLA,9902XS,3.0,200,197.0,68948.03,making_progress
VANCE,730.2XL,3.0,200,197.0,68948.03,making_progress
RENFIELD,990.XS.,3.0,200,197.0,68948.03,making_progress
CARMEN,531.M,3.0,200,197.0,68948.03,making_progress
COEN,350S,3.0,200,197.0,68948.03,making_progress
ELENA,414.M,3.0,200,197.0,68753.0,making_progress
OSLO,990.XL,3.0,200,197.0,68753.0,making_progress
CLARICE,414.M,3.0,200,197.0,68753.0,making_progress
MACKSON,400.2XL,3.0,200,197.0,68753.0,making_progress
SAMUEL,870.XS.,3.0,200,197.0,68753.0,making_progress
MACKSON,990.2XL,3.0,200,197.0,68753.0,making_progress
ELENA,414.XS,3.0,200,197.0,68753.0,making_progress
SAMUEL,990.M.,3.0,200,197.0,68753.0,making_progress
SAMUEL,990.S.,3.0,200,197.0,68753.0,making_progress
GEORGE,990.XS.,3.0,200,197.0,68753.0,making_progress
ALMA SKIRT,990.00.,3.0,200,197.0,68753.0,making_progress
ELENA,990.L,3.0,200,197.0,68753.0,making_progress
CONNOR,734.XL.,3.0,200,197.0,68753.0,making_progress
CLARICE,815.L,3.0,200,197.0,68753.0,making_progress
KEDDA,990.XS,4.0,200,196.0,68598.04000000001,making_progress
VANCE,730.XL,4.0,200,196.0,68598.04000000001,making_progress
CARMEN,531.L,4.0,200,196.0,68598.04000000001,making_progress
CARMEN,531.S,4.0,200,196.0,68598.04000000001,making_progress
CARMEN,531.2XS,4.0,200,196.0,68598.04000000001,making_progress
CLARICE,815.S,4.0,200,196.0,68404.0,making_progress
OLLIE,990.XS,4.0,200,196.0,68404.0,making_progress
ELENA,116.S,4.0,200,196.0,68404.0,making_progress
OLLIE,990.3XL,4.0,200,196.0,68404.0,making_progress
ELI,990.S,4.0,200,196.0,68404.0,making_progress
ELENA,990.3XS,4.0,200,196.0,68404.0,making_progress
ALMA SKIRT,990.10.,4.0,200,196.0,68404.0,making_progress
CLARICE,815.XS,4.0,200,196.0,68404.0,making_progress
CLARICE,414.S,4.0,200,196.0,68404.0,making_progress
GEORGE,990.M.,4.0,200,196.0,68404.0,making_progress
ELENA,990.XL,4.0,200,196.0,68404.0,making_progress
CLARICE,414.XS,4.0,200,196.0,68404.0,making_progress
ELI,990.L,4.0,200,196.0,68404.0,making_progress
RENFIELD,916.M.,5.0,200,195.0,68248.05,making_progress
VANCE,730.S,5.0,200,195.0,68248.05,making_progress
COEN,990S,5.0,200,195.0,68248.05,making_progress
AMILIA LARGE TOTE,545.NS.,46.0,500,454.0,68095.46,best_sellers
CLARICE,815.2XS,5.0,200,195.0,68055.0,making_progress
CLARICE,815.M,5.0,200,195.0,68055.0,making_progress
SAMUEL,990.XS.,5.0,200,195.0,68055.0,making_progress
ELENA,990.XS,5.0,200,195.0,68055.0,making_progress
ELI,990.M,5.0,200,195.0,68055.0,making_progress
ELENA,710.XS,5.0,200,195.0,68055.0,making_progress
ELENA,116.XS,5.0,200,195.0,68055.0,making_progress
ELENA,990.2XS,5.0,200,195.0,68055.0,making_progress
SAMUEL,990.2XL.,5.0,200,195.0,68055.0,making_progress
SUZY CROSSBODY,990.NS,47.0,500,453.0,67945.47,best_sellers
CATERINNA CROSSBODY,853.NS,47.0,500,453.0,67945.47,best_sellers
RENFIELD,916.3XL.,6.0,200,194.0,67898.06,making_progress
CARMEN,531.3XS,6.0,200,194.0,67898.06,making_progress
CONNOR,990.2XL.,6.0,200,194.0,67706.0,making_progress
CLARICE,990.3XS,6.0,200,194.0,67706.0,making_progress
CLARICE,414.3XS,6.0,200,194.0,67706.0,making_progress
ALMA SKIRT,990.08.,6.0,200,194.0,67706.0,making_progress
OSLO,990.L,6.0,200,194.0,67706.0,making_progress
GEORGE,990.2XL.,6.0,200,194.0,67706.0,making_progress
ALMA SKIRT,990.02.,6.0,200,194.0,67706.0,making_progress
ELENA,990.S,6.0,200,194.0,67706.0,making_progress
FAYE SMALL SHOULDER BAG,853.NS.,47.0,500,453.0,67497.0,best_sellers
PRESLEY TOTE,545.NS.,47.0,500,453.0,67497.0,best_sellers
ALYSON,312.XS,2.0,200,198.0,67318.02,making_progress
FAYE SMALL SHOULDER BAG,116.NS.,49.0,500,451.0,67199.0,best_sellers
FAYE SMALL SHOULDER BAG,815.NS.,49.0,500,451.0,67199.0,best_sellers
ENSLEY LARGE CROSSBODY,990.NS.,50.0,500,450.0,67050.0,best_sellers
FAYE SMALL SHOULDER BAG,990.NS.,50.0,500,450.0,67050.0,best_sellers
PRESLEY TOTE,116.NS.,50.0,500,450.0,67050.0,best_sellers
MONACO NYLON BACKPACK,109.NS.,50.0,500,450.0,67050.0,best_sellers
MONACO NYLON BACKPACK,990.NS.,51.0,500,449.0,66901.0,best_sellers
ENSLEY LARGE CROSSBODY,710.NS.,51.0,500,449.0,66901.0,best_sellers
AMILIA LARGE TOTE,990.NS.,55.0,500,445.0,66745.55,best_sellers
SUZY CROSSBODY,857.NS,55.0,500,445.0,66745.55,best_sellers
ALYSON,815.M,4.0,200,196.0,66638.04000000001,making_progress
MONACO NYLON BACKPACK,410.NS.,53.0,500,447.0,66603.0,best_sellers
ALYSON,815.XS,5.0,200,195.0,66298.05,making_progress
SUZY CROSSBODY,550.NS,58.0,500,442.0,66295.58,best_sellers
FAYE SMALL SHOULDER BAG,312.NS.,57.0,500,443.0,66007.0,best_sellers
BRADFORD CROSSBODY,990.NS,15.0,300,285.0,65265.0,doing_good
ATTICUS LARGE WALLET,890.NS.,64.0,500,436.0,64964.0,best_sellers
LEWIS,620.S,3.0,200,197.0,64813.0,making_progress
LEWIS,815.L,3.0,200,197.0,64813.0,making_progress
ELIAM SLING BAG,990.NS.,18.0,300,282.0,64578.0,doing_good
IMANI,990.3XS,4.0,200,196.0,64484.0,making_progress
LEWIS,815.XL,4.0,200,196.0,64484.0,making_progress
EMMILA,632.XL.,4.0,200,196.0,64484.0,making_progress
LEWIS,815.M,4.0,200,196.0,64484.0,making_progress
IMANI,990.S,4.0,200,196.0,64484.0,making_progress
HUXLEY BELT BAG,990.NS,68.0,500,432.0,64368.0,best_sellers
IMANI,990.L,5.0,200,195.0,64155.0,making_progress
EMMILA,990.3XS.,5.0,200,195.0,64155.0,making_progress
LEWIS,620.3XL,5.0,200,195.0,64155.0,making_progress
ELIAM SLING BAG,870.NS.,20.0,300,280.0,64120.0,doing_good
IMANI,990.XS,6.0,200,194.0,63826.0,making_progress
LEWIS,815.S,6.0,200,194.0,63826.0,making_progress
RUPERT SLING BAG,990.NS,48.0,500,452.0,62828.0,best_sellers
TYLER,875.L,1.0,100,99.0,62073.0,okay
TYLER,875.S,1.0,100,99.0,62073.0,okay
TYLER,720.S,1.0,100,99.0,62073.0,okay
TYLER,875.M,1.0,100,99.0,62073.0,okay
ATTICUS LARGE WALLET,990.NS.,86.0,500,414.0,61686.0,best_sellers
NOAH,990.XS,0.0,100,100.0,59999.0,okay
FABIOLA,990.L,0.0,100,100.0,59999.0,okay
FABIOLA,990.2XL,0.0,100,100.0,59999.0,okay
FABIOLA,990.XL,0.0,100,100.0,59999.0,okay
FABIOLA,990.M,1.0,100,99.0,59399.01,okay
FABIOLA,990.XS,1.0,100,99.0,59399.01,okay
GIA,920.3XS.,3.0,200,197.0,59098.03,making_progress
JARRET,990M,3.0,200,197.0,59098.03,making_progress
JARRON,990.L,3.0,200,197.0,59098.03,making_progress
GIA,920.2XS.,3.0,200,197.0,59098.03,making_progress
ELSA,990S,3.0,200,197.0,59098.03,making_progress
EVIE,870.10.,3.0,200,197.0,59098.03,making_progress
JARRET,990L,3.0,200,197.0,59098.03,making_progress
DIANA,990.2XS,3.0,200,197.0,58903.0,making_progress
NIKO,990.3XL,3.0,200,197.0,58903.0,making_progress
TATIANA,990.S,3.0,200,197.0,58903.0,making_progress
GREG,920.M.,4.0,200,196.0,58798.04,making_progress
GIA,920.L.,4.0,200,196.0,58798.04,making_progress
AERYN,820.3XS,4.0,200,196.0,58798.04,making_progress
AERYN,549.L,4.0,200,196.0,58798.04,making_progress
EVIE,990.10.,4.0,200,196.0,58798.04,making_progress
AERYN,620.3XS,4.0,200,196.0,58798.04,making_progress
LANCE,896.XS,4.0,200,196.0,58798.04,making_progress
EVIE,990.00.,4.0,200,196.0,58798.04,making_progress
GIA,920.XS.,4.0,200,196.0,58798.04,making_progress
JARRON,990.2XL,4.0,200,196.0,58798.04,making_progress
AERYN,700.2XL,4.0,200,196.0,58798.04,making_progress
AERYN,580.3XS,4.0,200,196.0,58798.04,making_progress
AERYN,549.2XL,4.0,200,196.0,58798.04,making_progress
GIA,920.M.,4.0,200,196.0,58798.04,making_progress
GREG,920.S.,4.0,200,196.0,58798.04,making_progress
AERYN,549.M,4.0,200,196.0,58798.04,making_progress
ELSA,9903XS,4.0,200,196.0,58798.04,making_progress
AERYN,700.XL,4.0,200,196.0,58798.04,making_progress
TATIANA,990.M,4.0,200,196.0,58604.0,making_progress
TATIANA,710.S,4.0,200,196.0,58604.0,making_progress
NIKO,931.2XL,4.0,200,196.0,58604.0,making_progress
LORNA,870.00,3.0,200,197.0,58509.0,making_progress
LORNA,62000,3.0,200,197.0,58509.0,making_progress
LORNA,72310,3.0,200,197.0,58509.0,making_progress
LORNA,580.12,3.0,200,197.0,58509.0,making_progress
LORNA,870.14,3.0,200,197.0,58509.0,making_progress
LORNA,72306,3.0,200,197.0,58509.0,making_progress
LORNA,580.14,3.0,200,197.0,58509.0,making_progress
LORNA,870.12,3.0,200,197.0,58509.0,making_progress
LORNA,580.04,3.0,200,197.0,58509.0,making_progress
GIA,920.S.,5.0,200,195.0,58498.05,making_progress
AERYN,810.3XS,5.0,200,195.0,58498.05,making_progress
EVIE,870.12.,5.0,200,195.0,58498.05,making_progress
EVIE,870.08.,5.0,200,195.0,58498.05,making_progress
AERYN,620.2XS,5.0,200,195.0,58498.05,making_progress
JARRON,990.XS,5.0,200,195.0,58498.05,making_progress
EVIE,870.00.,5.0,200,195.0,58498.05,making_progress
ELSA,9902XS,5.0,200,195.0,58498.05,making_progress
EVIE,990.02.,5.0,200,195.0,58498.05,making_progress
AMILIA SMALL TOTE,870.NS.,51.0,500,449.0,58365.51,best_sellers
EDWINA SHOULDER BAG,990.NS,51.0,500,449.0,58365.51,best_sellers
DIANA,990.L,5.0,200,195.0,58305.0,making_progress
AMILIA SMALL TOTE,113.NS.,52.0,500,448.0,58235.520000000004,best_sellers
JARRON,990.M,6.0,200,194.0,58198.060000000005,making_progress
ELSA,990XS,6.0,200,194.0,58198.060000000005,making_progress
GIA,920.XL.,6.0,200,194.0,58198.060000000005,making_progress
GREG,920.XL.,6.0,200,194.0,58198.060000000005,making_progress
EVIE,990.04.,6.0,200,194.0,58198.060000000005,making_progress
JARRET,990.3XL.,6.0,200,194.0,58198.060000000005,making_progress
COLORADO DUFFEL TROLLEY,990.NS,6.0,200,194.0,58198.060000000005,making_progress
JARRET,990S,6.0,200,194.0,58198.060000000005,making_progress
EVIE,990.06.,6.0,200,194.0,58198.060000000005,making_progress
TATIANA,990.2XL,6.0,200,194.0,58006.0,making_progress
LORNA,870.10,5.0,200,195.0,57915.0,making_progress
LORNA,116.00.,5.0,200,195.0,57915.0,making_progress
LORNA,72300,5.0,200,195.0,57915.0,making_progress
GREG,920.L.,7.0,200,193.0,57898.07,making_progress
GREG,920.2XL.,7.0,200,193.0,57898.07,making_progress
AERYN,549.3XS,7.0,200,193.0,57898.07,making_progress
EVIE,870.02.,7.0,200,193.0,57898.07,making_progress
DERICK,990.S,7.0,200,193.0,57898.07,making_progress
ANYA,710.2XS.,0.0,100,100.0,57700.0,okay
ANYA,710.M.,0.0,100,100.0,57700.0,okay
ANYA,710.XS.,0.0,100,100.0,57700.0,okay
ANYA,710.2XL.,0.0,100,100.0,57700.0,okay
ANYA,710.XL.,0.0,100,100.0,57700.0,okay
ANYA,710.L.,0.0,100,100.0,57700.0,okay
ANYA,710.3XS.,0.0,100,100.0,57700.0,okay
ANYA,710.S.,0.0,100,100.0,57700.0,okay
LORNA,870.08,6.0,200,194.0,57618.0,making_progress
LORNA,72304,6.0,200,194.0,57618.0,making_progress
LORNA,870.04,6.0,200,194.0,57618.0,making_progress
LENNI,870.06,11.0,300,289.0,57511.0,doing_good
LENNI,870.08,11.0,300,289.0,57511.0,doing_good
LORNA,72302,7.0,200,193.0,57321.0,making_progress
LORNA,580.02,7.0,200,193.0,57321.0,making_progress
BRAM MESSENGER BAG,990.NS,12.0,300,288.0,57312.0,doing_good
PRESLEY SATCHEL,990.NS.,56.0,500,444.0,57276.0,best_sellers
GILLES SLING BAG,990.NS,17.0,300,283.0,56317.0,doing_good
REESE,990.3XS,1.0,100,99.0,56133.0,okay
TRAVELPRO TOTE/BACKPACK,940.NS,19.0,300,281.0,55357.0,doing_good
HAYDEN,895M,-1.0,100,101.0,55247.0,okay
QUENTYN,916.2XL,3.0,200,197.0,55158.03,making_progress
NINA,633.M,3.0,200,197.0,54963.0,making_progress
NINA,633.3XS,3.0,200,197.0,54963.0,making_progress
MYLAH LARGE TOTE,853.NS.,24.0,300,276.0,54924.0,doing_good
MORGAN DUFFEL,870.NS,24.0,300,276.0,54924.0,doing_good
EDDIE,990.XL,4.0,200,196.0,54878.04,making_progress
CHARLY LAPTOP BAG,990.NS,25.0,300,275.0,54725.0,doing_good
ARTHUR,815.L,12.0,300,288.0,54717.12,doing_good
ARTHUR,815.M,12.0,300,288.0,54717.12,doing_good
HAYDEN,330.XL,0.0,100,100.0,54700.0,okay
NINA,633.L,4.0,200,196.0,54684.0,making_progress
ROBB,733.L,5.0,200,195.0,54598.05,making_progress
ROBB,733.S,5.0,200,195.0,54598.05,making_progress
EDDIE,990.L,5.0,200,195.0,54598.05,making_progress
NINA,815.XL.,5.0,200,195.0,54405.0,making_progress
NINA,633.S,5.0,200,195.0,54405.0,making_progress
MYLAH LARGE TOTE,990.NS.,27.0,300,273.0,54327.0,doing_good
ROBB,733.2XL,6.0,200,194.0,54318.060000000005,making_progress
ROBB,733.M,6.0,200,194.0,54318.060000000005,making_progress
EDDIE,990.2XL,6.0,200,194.0,54318.060000000005,making_progress
QUENTYN,639.2XL,6.0,200,194.0,54318.060000000005,making_progress
HAYDEN,895.3XL,1.0,100,99.0,54153.0,okay
HAYDEN,895S,1.0,100,99.0,54153.0,okay
NINA,815.3XS.,6.0,200,194.0,54126.0,making_progress
NINA,710.2XS,6.0,200,194.0,54126.0,making_progress
CHARLY LAPTOP BAG,890.NS,30.0,300,270.0,53730.0,doing_good
ELOWYN MEDIUM SATCHEL,116.NS.,32.0,300,268.0,53332.0,doing_good
"MONACO 26"" LARGE LUGGAGE CASE",410.NS.,33.0,300,267.0,53133.0,doing_good
ETIENNE,990.L,3.0,200,197.0,52993.0,making_progress
ETIENNE,990.S,3.0,200,197.0,52993.0,making_progress
ETIENNE,990.XS,4.0,200,196.0,52724.0,making_progress
EDRIK,990.XS,4.0,200,196.0,52724.0,making_progress
MONACO BIKER,990.2XL.,0.0,100,100.0,52700.0,okay
HEIDI SHOULDER BAG,990.NS.,58.0,500,442.0,52598.0,best_sellers
EMILE BACKPACK,990.NS,6.0,200,194.0,52186.0,making_progress
KEYSI LARGE PHONE WALLET,547.NS.,62.0,500,438.0,52122.0,best_sellers
KEYSI LARGE PHONE WALLET,858.NS.,66.0,500,434.0,51646.0,best_sellers
SPENCE SLING BAG,990.NS,12.0,300,288.0,51552.0,doing_good
KEYSI LARGE PHONE WALLET,873.NS.,67.0,500,433.0,51527.0,best_sellers
DARIUS CROSSBODY BAG,990.NS,28.0,300,272.0,51408.0,doing_good
KEYSI LARGE PHONE WALLET,123.NS.,70.0,500,430.0,51170.0,best_sellers
SHARRIE,815.XS,16.0,300,284.0,51117.16,doing_good
SHARRIE,815.S,16.0,300,284.0,51117.16,doing_good
GILLES CROSSBODY BAG,990.NS,30.0,300,270.0,51030.0,doing_good
KEYSI LARGE PHONE WALLET,915.NS.,75.0,500,425.0,50575.0,best_sellers
KATHANI,870.L.,-1.0,100,101.0,50399.0,okay
KEYSI LARGE PHONE WALLET,679.NS.,78.0,500,422.0,50218.0,best_sellers
PRISCILLA,990.XL,0.0,100,100.0,49999.0,okay
PRISCILLA,990.M,0.0,100,100.0,49999.0,okay
PRISCILLA,990.L,0.0,100,100.0,49999.0,okay
PRISCILLA,990.S,0.0,100,100.0,49999.0,okay
VAN,990.2XL,0.0,100,100.0,49999.0,okay
VAN,990.S,0.0,100,100.0,49999.0,okay
VAN,990.XS,0.0,100,100.0,49999.0,okay
VAN,990.L,0.0,100,100.0,49999.0,okay
HUXLEY SLING BAG,990.NS,21.0,300,279.0,49941.0,doing_good
MYLAH SATCHEL,990.NS.,21.0,300,279.0,49941.0,doing_good
BOSTON VARSITY,911.L.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,919.2XL.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,911.M.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,911.2XL.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,911.XL.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,911.XS.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,911.S.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,919.XL.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,919.S.,0.0,100,100.0,49700.0,okay
BERNARD,990.S,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,919.M.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,919.L.,0.0,100,100.0,49700.0,okay
BOSTON VARSITY,919.XS.,0.0,100,100.0,49700.0,okay
PRISCILLA,990.XS,1.0,100,99.0,49499.01,okay
PRISCILLA,990.2XL,1.0,100,99.0,49499.01,okay
VAN,990.XL,1.0,100,99.0,49499.01,okay
KATHANI,990.2XS.,1.0,100,99.0,49401.0,okay
TURNER,990XL,1.0,100,99.0,49401.0,okay
MAXTON,411.XS,1.0,100,99.0,49401.0,okay
KATHANI,870.XL.,1.0,100,99.0,49401.0,okay
GRACIE,990.2XL.,1.0,100,99.0,49401.0,okay
KATHANI,870.S.,1.0,100,99.0,49401.0,okay
KATHANI,990.2XL.,1.0,100,99.0,49401.0,okay
KATHANI,990.S.,1.0,100,99.0,49401.0,okay
KATHANI,870.M.,1.0,100,99.0,49401.0,okay
KATHANI,990.M.,1.0,100,99.0,49401.0,okay
MIKEY,870.S.,3.0,200,197.0,49248.03,making_progress
MIKEY,990.S.,3.0,200,197.0,49248.03,making_progress
ZOEY,553.M,3.0,200,197.0,49248.03,making_progress
FENTON,990.XL.,3.0,200,197.0,49248.03,making_progress
BRONTE,990.3XS,3.0,200,197.0,49248.03,making_progress
JULISSA,9902XS,3.0,200,197.0,49248.03,making_progress
LAINEY,990.10,3.0,200,197.0,49248.03,making_progress
BRONTE,553.2XS,3.0,200,197.0,49248.03,making_progress
FENTON,990.S.,3.0,200,197.0,49248.03,making_progress
DALE,990.XL.,3.0,200,197.0,49248.03,making_progress
VALE,990.3XS,1.0,100,99.0,49203.0,okay
VALE,990.2XS,1.0,100,99.0,49203.0,okay
VALE,990.L,1.0,100,99.0,49203.0,okay
VALE,990.M,1.0,100,99.0,49203.0,okay
CICELY,990.14,3.0,200,197.0,49053.0,making_progress
CICELY,730.08,3.0,200,197.0,49053.0,making_progress
CICELY,990.08,3.0,200,197.0,49053.0,making_progress
CICELY,730.12,3.0,200,197.0,49053.0,making_progress
KATHLEEN,990.14,4.0,200,196.0,48998.04,making_progress
KATHLEEN,990.00,4.0,200,196.0,48998.04,making_progress
KATHLEEN,710.14,4.0,200,196.0,48998.04,making_progress
BRONTE,553.3XS,4.0,200,196.0,48998.04,making_progress
FENTON,990.3XL.,4.0,200,196.0,48998.04,making_progress
FENTON,990.2XL.,4.0,200,196.0,48998.04,making_progress
DAVE,990.M.,4.0,200,196.0,48998.04,making_progress
BRONTE,990.S,4.0,200,196.0,48998.04,making_progress
BRONTE,553.L,4.0,200,196.0,48998.04,making_progress
JANE,919.M.,4.0,200,196.0,48804.0,making_progress
CICELY,730.10,4.0,200,196.0,48804.0,making_progress
CICELY,990.12,4.0,200,196.0,48804.0,making_progress
CICELY,730.02,4.0,200,196.0,48804.0,making_progress
DALE,990.2XL.,5.0,200,195.0,48748.05,making_progress
KATHLEEN,710.00,5.0,200,195.0,48748.05,making_progress
KATHLEEN,710.10,5.0,200,195.0,48748.05,making_progress
INDIE,990.2XS,5.0,200,195.0,48748.05,making_progress
FENTON,990.XS.,5.0,200,195.0,48748.05,making_progress
BRONTE,553.XS,5.0,200,195.0,48748.05,making_progress
BRONTE,553.S,5.0,200,195.0,48748.05,making_progress
KATHLEEN,710.12,5.0,200,195.0,48748.05,making_progress
FENTON,990.L.,5.0,200,195.0,48748.05,making_progress
BRONTE,990.2XS,5.0,200,195.0,48748.05,making_progress
ZOEY,553.L,5.0,200,195.0,48748.05,making_progress
ELIZIE,555.XS.,14.0,300,286.0,48617.14,doing_good
CICELY,990.10,5.0,200,195.0,48555.0,making_progress
DANA,990.10,5.0,200,195.0,48555.0,making_progress
CICELY,990.04,5.0,200,195.0,48555.0,making_progress
ROSA CROSSBODY BAG,823.NS.,13.0,300,287.0,48503.0,doing_good
DAVE,990.XL.,6.0,200,194.0,48498.060000000005,making_progress
BRONTE,553.M,6.0,200,194.0,48498.060000000005,making_progress
DAVE,990.S.,6.0,200,194.0,48498.060000000005,making_progress
MIKEY,990.2XL.,6.0,200,194.0,48498.060000000005,making_progress
DAVE,990.2XL.,6.0,200,194.0,48498.060000000005,making_progress
DANA,990.14,6.0,200,194.0,48306.0,making_progress
DALE,990.3XL.,7.0,200,193.0,48248.07,making_progress
KATHLEEN,710.06,7.0,200,193.0,48248.07,making_progress
DAVE,990.XS.,7.0,200,193.0,48248.07,making_progress
KATHLEEN,710.08,7.0,200,193.0,48248.07,making_progress
DANA,990.12,7.0,200,193.0,48057.0,making_progress
DAVE,990.L.,8.0,200,192.0,47998.08,making_progress
